"uuid","viewDistance","session"
"0bb4a66e-6d8b-485f-8f4d-13c2c323f93e",50.068,2
"0bb4a66e-6d8b-485f-8f4d-13c2c323f93e",64.413,1
"0bd608d7-e2df-4e29-93e1-7784c9d55779",38.202,2
"0bd608d7-e2df-4e29-93e1-7784c9d55779",38.916,3
"0bd608d7-e2df-4e29-93e1-7784c9d55779",44.412,1
"0c15e240-1c63-4dac-bb98-d8ea190089e6",47.533,3
"0c15e240-1c63-4dac-bb98-d8ea190089e6",48.252,2
"0c15e240-1c63-4dac-bb98-d8ea190089e6",50.881,1
"0c68d796-315e-4e32-959e-13bbdbb243d7",62.188,3
"0c68d796-315e-4e32-959e-13bbdbb243d7",67.793,2
"0c68d796-315e-4e32-959e-13bbdbb243d7",59.23,1
"0ce863ed-ae80-4601-864f-0f527ba461e6",54.396,3
"0ce863ed-ae80-4601-864f-0f527ba461e6",54.721,2
"0ce863ed-ae80-4601-864f-0f527ba461e6",58.099,1
"0d8ebb91-1b54-41ee-8972-c917959d48a6",44.758,3
"0d8ebb91-1b54-41ee-8972-c917959d48a6",55.384,2
"0d8ebb91-1b54-41ee-8972-c917959d48a6",47.761,1
"0de5fd15-937c-40e0-af54-72dd76786a3b",58.095,3
"0de5fd15-937c-40e0-af54-72dd76786a3b",59.775,2
"0de5fd15-937c-40e0-af54-72dd76786a3b",61.937,1
"0e1d513b-d2c4-4375-bf83-2414cf6d9cc2",34.977,2
"0e1d513b-d2c4-4375-bf83-2414cf6d9cc2",36.656,3
"0e1d513b-d2c4-4375-bf83-2414cf6d9cc2",35.709,1
"0ee575a4-7bcb-41d7-b8dd-37b729135b5b",45.863,2
"0ee575a4-7bcb-41d7-b8dd-37b729135b5b",47.728,3
"0ee575a4-7bcb-41d7-b8dd-37b729135b5b",45.853,1
"0f085aa6-2b74-4caf-8b70-fc785a63d9f6",48.191,2
"0f085aa6-2b74-4caf-8b70-fc785a63d9f6",48.279,3
"0f085aa6-2b74-4caf-8b70-fc785a63d9f6",49.335,1
"0f50b07b-5744-41a0-9b4c-5f60c05a5ae8",25.889,3
"0f50b07b-5744-41a0-9b4c-5f60c05a5ae8",54.142,2
"0f50b07b-5744-41a0-9b4c-5f60c05a5ae8",34.249,1
"0face946-ac26-4480-9a54-b082b6c228f2",53.95,3
"0face946-ac26-4480-9a54-b082b6c228f2",57.328,2
"0face946-ac26-4480-9a54-b082b6c228f2",62.478,1
"10099bc7-6db4-445e-98d7-df978bdd138d",47.175,2
"10099bc7-6db4-445e-98d7-df978bdd138d",58.352,3
"10099bc7-6db4-445e-98d7-df978bdd138d",27.944,1
"107b6229-4c5c-41dc-93c5-969e5fe740b2",61.821,3
"107b6229-4c5c-41dc-93c5-969e5fe740b2",62.495,2
"107b6229-4c5c-41dc-93c5-969e5fe740b2",35.296,1
"1156243b-3b73-409b-96bb-b7eabd4fbdcc",49.567,3
"1156243b-3b73-409b-96bb-b7eabd4fbdcc",51.091,2
"1156243b-3b73-409b-96bb-b7eabd4fbdcc",42.027,1
"11cfb1ef-fa38-4204-aa7b-caa6b2ef9460",50.262,3
"11cfb1ef-fa38-4204-aa7b-caa6b2ef9460",51.926,2
"11cfb1ef-fa38-4204-aa7b-caa6b2ef9460",40.823,1
"11dc1a68-a876-479d-b222-04d6b99d9389",43.85,2
"11dc1a68-a876-479d-b222-04d6b99d9389",44.692,3
"11dc1a68-a876-479d-b222-04d6b99d9389",49.077,1
"12600c1f-1fcb-468c-a501-538aeea3de32",41.465,2
"12600c1f-1fcb-468c-a501-538aeea3de32",41.572,3
"12600c1f-1fcb-468c-a501-538aeea3de32",35.826,1
"1269877d-9c2d-482e-b3d8-385fa4574fbd",56.699,2
"1269877d-9c2d-482e-b3d8-385fa4574fbd",57.466,3
"1269877d-9c2d-482e-b3d8-385fa4574fbd",45.784,1
"12fbaad2-e386-4b2e-bae8-95971dbceb0b",38.627,2
"12fbaad2-e386-4b2e-bae8-95971dbceb0b",41.022,3
"12fbaad2-e386-4b2e-bae8-95971dbceb0b",42.673,1
"1313e81d-76e4-4ceb-af6e-bdcc1c0074e4",57.956,3
"1313e81d-76e4-4ceb-af6e-bdcc1c0074e4",60.952,2
"1313e81d-76e4-4ceb-af6e-bdcc1c0074e4",40.635,1
"1395e9dc-26ee-4041-8d67-969a80f8b18a",57.829,3
"1395e9dc-26ee-4041-8d67-969a80f8b18a",65.298,2
"1395e9dc-26ee-4041-8d67-969a80f8b18a",41.357,1
"13d9eb46-e2b5-4bba-99d1-545d716c949f",35.283,2
"13d9eb46-e2b5-4bba-99d1-545d716c949f",40.82,3
"13d9eb46-e2b5-4bba-99d1-545d716c949f",45.814,1
"1420e81d-23e2-4a1b-a869-7758b44e4c67",51.157,2
"1420e81d-23e2-4a1b-a869-7758b44e4c67",51.422,3
"1420e81d-23e2-4a1b-a869-7758b44e4c67",51.723,1
"14a1bc40-8e42-45e0-9104-47d865bcef1d",49.456,3
"14a1bc40-8e42-45e0-9104-47d865bcef1d",50.366,2
"14a1bc40-8e42-45e0-9104-47d865bcef1d",47.069,1
"14a9bb0f-370f-4510-a0da-032ed7e6f91d",1.527,3
"14a9bb0f-370f-4510-a0da-032ed7e6f91d",8.738,2
"14a9bb0f-370f-4510-a0da-032ed7e6f91d",6.944,1
"14dc808b-e947-4841-90d6-802716d4e70d",45.059,3
"14dc808b-e947-4841-90d6-802716d4e70d",47.708,2
"14dc808b-e947-4841-90d6-802716d4e70d",46.775,1
"14e076d7-3518-41e3-8e1f-68f3e1211edf",41.558,2
"14e076d7-3518-41e3-8e1f-68f3e1211edf",66.702,3
"14e076d7-3518-41e3-8e1f-68f3e1211edf",61.019,1
"14fb0d85-a3d3-49bf-9775-ae737be5f5e0",36.154,2
"14fb0d85-a3d3-49bf-9775-ae737be5f5e0",43.984,3
"14fb0d85-a3d3-49bf-9775-ae737be5f5e0",30.755,1
"15838af6-6a7c-45b9-9b9d-f6ae74f4302e",52.978,2
"15838af6-6a7c-45b9-9b9d-f6ae74f4302e",54.419,3
"15838af6-6a7c-45b9-9b9d-f6ae74f4302e",54.139,1
"15c03128-3d0a-4c54-8e24-1f5da32dba43",40.41,3
"15c03128-3d0a-4c54-8e24-1f5da32dba43",68.881,2
"15c03128-3d0a-4c54-8e24-1f5da32dba43",51.74,1
"15f2b469-b375-4e89-bee4-69b8a07cf584",49.578,2
"15f2b469-b375-4e89-bee4-69b8a07cf584",60.331,3
"15f2b469-b375-4e89-bee4-69b8a07cf584",39.738,1
"15f45b7c-5d00-46a5-afde-d7be1ebce600",52.769,2
"15f45b7c-5d00-46a5-afde-d7be1ebce600",53.862,3
"15f45b7c-5d00-46a5-afde-d7be1ebce600",48.973,1
"1620c006-9090-4d0f-b504-0a24920f041d",37.571,2
"1620c006-9090-4d0f-b504-0a24920f041d",38.253,3
"1620c006-9090-4d0f-b504-0a24920f041d",37.54,1
"1644440e-4b91-4e90-8df5-46db6bbe97ca",26.514,2
"1644440e-4b91-4e90-8df5-46db6bbe97ca",26.7,3
"1644440e-4b91-4e90-8df5-46db6bbe97ca",35.308,1
"16d97004-7155-4b04-a8be-ed6008f6eaf6",55.887,2
"16d97004-7155-4b04-a8be-ed6008f6eaf6",56.593,3
"16d97004-7155-4b04-a8be-ed6008f6eaf6",54.235,1
"16e8795d-648f-44c9-8d3f-be7f69ea88e2",21.956,3
"16e8795d-648f-44c9-8d3f-be7f69ea88e2",22.543,2
"16e8795d-648f-44c9-8d3f-be7f69ea88e2",4.352,1
"17dff061-86d7-4020-a5e4-3feca4fb0e17",59.394,3
"17dff061-86d7-4020-a5e4-3feca4fb0e17",59.719,2
"17dff061-86d7-4020-a5e4-3feca4fb0e17",33.783,1
"17e6c070-b9f4-4bc7-9309-b31ea2eac450",47.951,3
"17e6c070-b9f4-4bc7-9309-b31ea2eac450",49.171,2
"17e6c070-b9f4-4bc7-9309-b31ea2eac450",51.063,1
"17f6268c-136b-4651-b449-e1963ea0fc40",44.241,3
"17f6268c-136b-4651-b449-e1963ea0fc40",48.718,2
"17f6268c-136b-4651-b449-e1963ea0fc40",44.675,1
"1811d0bd-8ebb-4070-be26-8f3eb69573a4",29.981,2
"1811d0bd-8ebb-4070-be26-8f3eb69573a4",41.81,3
"1811d0bd-8ebb-4070-be26-8f3eb69573a4",37.978,1
"185792da-5ab0-45a8-a563-ba4f6159eb47",21.365,2
"185792da-5ab0-45a8-a563-ba4f6159eb47",23.701,3
"185792da-5ab0-45a8-a563-ba4f6159eb47",24.976,1
"186985ce-dc5c-4e87-9ce3-725708b086b6",55.059,3
"186985ce-dc5c-4e87-9ce3-725708b086b6",57.965,2
"186985ce-dc5c-4e87-9ce3-725708b086b6",58.682,1
"188ae78d-3d53-4b5e-a773-ff47ad7ee7e1",59.909,3
